,Unnamed: 0,Unnamed: 0.1,theta,phi,fully_diff,control
0,0.0,0.0,0.0,0.0,0.12936571657968687,0.1244
1,1.0,1.0,0.0,0.1,0.10056202328382176,0.1004
2,2.0,2.0,0.0,0.2,0.11099959855479727,0.1298
3,3.0,3.0,0.0,0.30000000000000004,0.10869128863910077,0.1279
4,4.0,4.0,0.0,0.4,0.13950220794861498,0.1345
5,5.0,5.0,0.0,0.5,0.13057005218787635,0.134
6,6.0,6.0,0.0,0.6000000000000001,0.16910879164993978,0.1238
7,7.0,7.0,0.0,0.7000000000000001,0.1200321156162184,0.1094
8,8.0,8.0,0.0,0.8,0.1760337213970293,0.1233
9,9.0,9.0,0.0,0.9,0.10728623042954637,0.1772
10,10.0,10.0,0.0,1.0,0.11661983139301485,0.1455
11,11.0,11.0,0.1,0.0,0.11380971497390605,0.1532
12,12.0,12.0,0.1,0.1,0.4916700120433561,0.5463
13,13.0,13.0,0.1,0.2,0.5976515455640306,0.5664
14,14.0,14.0,0.1,0.30000000000000004,0.5112404656764352,0.5674
15,15.0,15.0,0.1,0.4,0.7432757928542754,0.7070000000000001
16,16.0,16.0,0.1,0.5,0.5413488558811722,0.7006
17,17.0,17.0,0.1,0.6000000000000001,0.7075471698113207,0.6878
18,18.0,18.0,0.1,0.7000000000000001,0.7866318747490968,0.7979
19,19.0,19.0,0.1,0.8,0.8035929345644319,0.7886
20,20.0,20.0,0.1,0.9,0.7949618627057407,0.7511
21,21.0,21.0,0.1,1.0,0.8111200321156162,0.8113
22,22.0,22.0,0.2,0.0,0.11732236049779204,0.1191
23,23.0,23.0,0.2,0.1,0.587213970293055,0.6044
24,24.0,24.0,0.2,0.2,0.6986150140505821,0.6988
25,25.0,25.0,0.2,0.30000000000000004,0.6118024889602569,0.7066
26,26.0,26.0,0.2,0.4,0.7208952228020875,0.8069
27,27.0,27.0,0.2,0.5,0.7502007226013649,0.8078
28,28.0,28.0,0.2,0.6000000000000001,0.812826174227218,0.8891
29,29.0,29.0,0.2,0.7000000000000001,0.817442794058611,0.8166
30,30.0,30.0,0.2,0.8,0.8039943797671618,0.8144
31,31.0,31.0,0.2,0.9,0.7119630670413488,0.7991
32,32.0,32.0,0.2,1.0,0.6287635487755922,0.7587
33,33.0,33.0,0.30000000000000004,0.0,0.12525090325170615,0.1644
34,34.0,34.0,0.30000000000000004,0.1,0.5873143315937375,0.6493
35,35.0,35.0,0.30000000000000004,0.2,0.7002207948615013,0.6666
36,36.0,36.0,0.30000000000000004,0.30000000000000004,0.7533119229225209,0.8083
37,37.0,37.0,0.30000000000000004,0.4,0.7042352468887997,0.8045
38,38.0,38.0,0.30000000000000004,0.5,0.6929947812123645,0.8158
39,39.0,39.0,0.30000000000000004,0.6000000000000001,0.7570252910477719,0.8262
40,40.0,40.0,0.30000000000000004,0.7000000000000001,0.8286832597350462,0.7552
41,41.0,41.0,0.30000000000000004,0.8,0.8996386993175431,0.8398
42,42.0,42.0,0.30000000000000004,0.9,0.8831794460056203,0.7648
43,43.0,43.0,0.30000000000000004,1.0,0.6987153753512646,0.8323
44,44.0,44.0,0.4,0.0,0.10477719791248497,0.1032
45,45.0,45.0,0.4,0.1,0.6109995985547972,0.5656
46,46.0,46.0,0.4,0.2,0.8038940184664793,0.7037
47,47.0,47.0,0.4,0.30000000000000004,0.8111200321156162,0.7422
48,48.0,48.0,0.4,0.4,0.8085106382978723,0.6838
49,49.0,49.0,0.4,0.5,0.6718185467683662,0.7417
50,50.0,50.0,0.4,0.6000000000000001,0.8361099959855479,0.6704
51,51.0,51.0,0.4,0.7000000000000001,0.8676234443998394,0.7366
52,52.0,52.0,0.4,0.8,0.8491569650742674,0.9165
53,53.0,53.0,0.4,0.9,0.9278402248093136,0.7625
54,54.0,54.0,0.4,1.0,0.9338619028502608,0.8432
55,55.0,55.0,0.5,0.0,0.10297069450020073,0.1236
56,56.0,56.0,0.5,0.1,0.8275792854275391,0.7753
57,57.0,57.0,0.5,0.2,0.8303894018466479,0.6259
58,58.0,58.0,0.5,0.30000000000000004,0.7364512244078684,0.6629999999999999
59,59.0,59.0,0.5,0.4,0.8282818145323163,0.8295
60,60.0,60.0,0.5,0.5,0.9184062625451626,0.8392
61,61.0,61.0,0.5,0.6000000000000001,0.8497591328783621,0.9154
62,62.0,62.0,0.5,0.7000000000000001,0.8491569650742674,0.8462
63,63.0,63.0,0.5,0.8,0.9271376957045364,0.8428
64,64.0,64.0,0.5,0.9,0.9375752709755121,0.9298
65,65.0,65.0,0.5,1.0,0.8320955439582497,0.938
66,66.0,66.0,0.6000000000000001,0.0,0.11762344439983942,0.1208
67,67.0,67.0,0.6000000000000001,0.1,0.6211360899237254,0.6879
68,68.0,68.0,0.6000000000000001,0.2,0.7988759534323565,0.68
69,69.0,69.0,0.6000000000000001,0.30000000000000004,0.854777197912485,0.7014
70,70.0,70.0,0.6000000000000001,0.4,0.8973303894018466,0.7285
71,71.0,71.0,0.6000000000000001,0.5,0.8378161380971497,0.8123
72,72.0,72.0,0.6000000000000001,0.6000000000000001,0.7390606182256122,0.7509
73,73.0,73.0,0.6000000000000001,0.7000000000000001,0.8898032918506624,0.9205
74,74.0,74.0,0.6000000000000001,0.8,0.934965877157768,0.8417
75,75.0,75.0,0.6000000000000001,0.9,0.8972300281011641,0.9355
76,76.0,76.0,0.6000000000000001,1.0,0.9392814130871135,0.8554
77,77.0,77.0,0.7000000000000001,0.0,0.111601766358892,0.1344
78,78.0,78.0,0.7000000000000001,0.1,0.7650541951023685,0.6277
79,79.0,79.0,0.7000000000000001,0.2,0.8283821758329988,0.9006
80,80.0,80.0,0.7000000000000001,0.30000000000000004,0.7694700923323966,0.8335
81,81.0,81.0,0.7000000000000001,0.4,0.9249297470895222,0.9152
82,82.0,82.0,0.7000000000000001,0.5,0.8619028502609394,0.9266
83,83.0,83.0,0.7000000000000001,0.6000000000000001,0.909474106784424,0.77
84,84.0,84.0,0.7000000000000001,0.7000000000000001,0.7725812926535528,0.7704
85,85.0,85.0,0.7000000000000001,0.8,0.7981734243275793,0.7567
86,86.0,86.0,0.7000000000000001,0.9,0.8424327579285428,0.9448
87,87.0,87.0,0.7000000000000001,1.0,0.8785628261742272,0.7613
88,88.0,88.0,0.8,0.0,0.11180248896025692,0.124
89,89.0,89.0,0.8,0.1,0.8045965475712565,0.7324
90,90.0,90.0,0.8,0.2,0.6697109594540345,0.8395
91,91.0,91.0,0.8,0.30000000000000004,0.7629466077880369,0.9177
92,92.0,92.0,0.8,0.4,0.7884383781613811,0.8187
93,93.0,93.0,0.8,0.5,0.8632075471698113,0.8383
94,94.0,94.0,0.8,0.6000000000000001,0.854777197912485,0.7512
95,95.0,95.0,0.8,0.7000000000000001,0.8021878763548775,0.8342
96,96.0,96.0,0.8,0.8,0.8496587715776797,0.8523
97,97.0,97.0,0.8,0.9,0.8733440385387394,0.7608
98,98.0,98.0,0.8,1.0,0.9549377759935768,0.7521
99,99.0,99.0,0.9,0.0,0.14622641509433962,0.1436
100,100.0,100.0,0.9,0.1,0.7210959454034525,0.8064
101,101.0,101.0,0.9,0.2,0.8242673625050181,0.6278
102,102.0,102.0,0.9,0.30000000000000004,0.8368125250903252,0.7628
103,103.0,103.0,0.9,0.4,0.9260337213970292,0.9116
104,104.0,104.0,0.9,0.5,0.9212163789642712,0.7524
105,105.0,105.0,0.9,0.6000000000000001,0.9326575672420716,0.7545
106,106.0,106.0,0.9,0.7000000000000001,0.7778000802890406,0.9312
107,107.0,107.0,0.9,0.8,0.8987354476114009,0.6487
108,108.0,108.0,0.9,0.9,0.9513247691690084,0.9527
109,109.0,109.0,0.9,1.0,0.8338016860698515,0.6755
110,110.0,110.0,1.0,0.0,0.1078883982336411,0.1096
111,111.0,111.0,1.0,0.1,0.7077478924126857,0.7753
